topic,goal
health,Get enough sleep to allow your body to rest and rejuvenate.
health,"Exercise for at least thirty minutes, five days per week."
health,Add strength training to your cardio workout.
health,"Try a new sport or activity that you have never considered before, like water polo or badminton."
health,Consider taking up rebounding on a mini trampoline to protect your joints while you work out.
health,"Train for a marathon, even if you end up just running half of it."
health,Quit smoking and other unhealthy habits.
health,Remember to do more deep breathing throughout the day to keep yourself calm.
health,Help other people live healthier lives.
personal,Travel abroad to as many countries as possible.
personal,Start a family once you feel you are ready.
personal,Develop your craft and set milestones you wish to meet.
personal,Become your best self — whatever you define that to be.
personal,Learn to love what you have rather than longing for more. Practicing mindfulness will help with this.
personal,Leave a legacy by making a significant contribution to the world in some way.
personal,Create financial freedom so you can enjoy your other goals and dreams.
personal,Adopt a child.
personal,"Set a local, state, or world record in something."
personal,Invent something that will benefit society in some way.
personal,Rally a community around a social cause that's important to you.
health,Participate in an Olympic distance triathlon
health,Finish a half Ironman triathlon
health,Finish a full Ironman triathlon
health,Finish in the top 5% in a half marathon
health,Learn Muay Thai boxing
health,Get down to single digit body fat %
health,Get six-pack abs
health,Do 100 days of consecutive running
health,Train for a marathon in 4 Weeks
health,Do yoga for 40 days in a row
financial,Generate $1000 from online
financial,Generate monthly recurring passive income
financial,Have zero personal debt
financial,Become location independent
financial,Become financially independent
financial,"Have $10,000+ in savings"
financial,Make a long-term gold investment (10K)
financial,Invest in the stock market (10K)
financial,Build a six-figure business (100K)
financial,Diversify income from at least five sources
knowledge,Graduate from an international university
knowledge,Speak English fluently
knowledge,Become an international public speakeer
knowledge,Publish monthly blog posts for a year
knowledge,Speak conversational Spanish
knowledge,Publish a short eBook guide
knowledge,Write and launch an email series
knowledge,Interview 100 inspirational people
knowledge,Create an online course
knowledge,Write a full-length book
spiritual,Volunteer at a hospital
spiritual,Learn and perform Reiki
spiritual,Participate in a 10-day Vipassana meditation retreat
spiritual,Help a business in a developing country
spiritual,Help a family in need in a developing country
spiritual,Offer pro-bono life and business coaching
spiritual,Make 20+ donations in a year
spiritual,Help building a school in a developing country
spiritual,60 days of meditation
spiritual,30 days of helping others
career,Become an IT manager
career,Become a Business Development Manager
career,Become a General Manager
career,Become a Corporate Director
career,Become an Internet Marketing consultant
career,Become a business owner
career,Become a Web Developer
career,Become a business coach
career,Become a software entrepreneur
career,Become a Startup Advisor
social,52 weeks of socializing
social,Have a long-term loving relationship
social,Share a house with great friends
social,60 nights out in 60 days
social,Yearly family visits
social,World travel with friends
social,World travel with my parents
social,World travel with a partner
social,World travel with my sisters
social,30-days of expressing gratitude to friends and family
social,Travel through Southeast Asia
social,Travel in the South Pacific
social,Travel across North America
social,Travel across Europe
social,Travel throughout Australia
social,Travel in Central America
social,Travel in South America
social,Travel in North Africa
social,Travel to the Caribbean
social,Travel in Eastern Europe
adventure,Take a motorcycle trip
adventure,Go on a kayaking trip
adventure,Go trekking in the highest mountains
adventure,Sail a small boat
adventure,Travel by a 4WD
adventure,Surf around the world
adventure,Go on a sailing trip
adventure,Go diving
adventure,Learn to rock climb
adventure,Go cross country skiing
personal,Become a resident of Australia
personal,Become an Australian citizen
personal,Live in the U.S.
personal,Drink water first thing in the morning for a year
personal,Be an early riser for a year
personal,Give up coffee for a year
personal,Give up Alcoholic spirits for a year
personal,Be a vegetarian for a year
personal,Do a 7-day detox fasting
personal,Juice for 20 days
personal,Paint a picture
personal,Create a Youtube clip
personal,Be featured on a Podcast
personal,Write 365 days of motivational thoughts
personal,Dance Salsa for 30 days
personal,100 days of photography
personal,21 days of wholefood recipes
personal,Learn to play and preform with a tribal drum
personal,Appear on stage
personal,Compose an electronic song
adventure,"I will travel to Rio de Janeiro, Brazil"
adventure,"I will travel to Rome, Italy"
adventure,"I will travel to Paris, France"
adventure,"I will travel to London, England"
adventure,I will travel to New Zealand
adventure,I will travel to India
adventure,I will travel to Bali
adventure,I will travel to Tahiti
adventure,I will travel to Nepal
adventure,I will travel to Tibet
adventure,I will travel to Turkey
adventure,I will travel to Africa (Morocco and Cameroon so far)
adventure,I will travel to Israel
adventure,I will travel to Russia
adventure,"I will travel to Singapore, Thailand and Malaysia"
adventure,I will travel to Vacation on a Greek Isle
adventure,I will visit Disneyworld
adventure,I will visit Epcott Center
adventure,I will visit The Eiffel Tower
adventure,I will visit The Vatican
adventure,I will visit The Great Wall of China
adventure,I will visit The Taj Mahal
adventure,I will visit The Great Pyramids
adventure,I will visit Machu Pichu
adventure,"I will visit The Terracotta Soldiers of Xian, China"
adventure,Visit Japan
adventure,Visit the Achawara tribe and work with a shaman in the rainforest with Lynn Twist
adventure,"Visit Buenos Aires, Argentina"
adventure,Go to Dubai
adventure,I will Go fishing in the Northwest Territories
adventure,I will Climb on a glacier in Alaska
adventure,I will Go on a safari in Africa
adventure,I will Become a certified scuba diver
adventure,I will Snorkel in Hawaii
adventure,I will Learn to sail
adventure,I will Skydive
adventure,I will Ride in a hot air balloon
adventure,I will Go on a river-rafting trip
adventure,I will Go kayaking
adventure,I will Attend Vic Braden’s tennis camp (Deleted due to ruptured disc)
adventure,I will Fly in a glider
adventure,I will Dive in a submarine
adventure,I will Learn to windsurf
adventure,I will Learn to ski
adventure,I will Ski black diamond level (Deleted due to ruptured disc)
adventure,"I will Ski Vail, Aspen, Beaver Creek, Sun Valley & Jackson Hole"
adventure,I will Ski in Europe (Deleted due to ruptured disc)
adventure,I will Explore all 5 of Hawaii’s islands
adventure,I will Swim with the dolphins
adventure,I will Go to the Super Bowl
adventure,I will Go to the Rose Bowl
adventure,I will Go to the Final Four College Basketball Championships
adventure,I will Go to the Olympics
adventure,I will Take one of my sons to the Olympics
adventure,"Attend the Grand Ole Opry in Nashville, Tennessee"
adventure,Attend the National Championship College Football Game
adventure,Attend the Country Music Awards
adventure,Take the Landmark Forum Training
adventure,Attend the Oscar Awards ceremony
adventure,"Attend the Radio Music Awards in Los Vegas, Nevada"
adventure,To take a 30-day vacation in Hawaii with my wife
adventure,To take a one-week vacation with my wife and six friends in a villa on the beach in the Bahamas
personal,Appear on the Phil Donahue Show
personal,Appear on the Oprah Winfrey Show
personal,Write a best selling book
personal,Make one million dollars in one year
personal,Golf 18 holes under 90
personal,Run a 10k race
personal,Run 14 miles in less than 3 hours
personal,Meet a U.S. president while he/she is still in office
personal,Build or buy my dream house
personal,Own a vacation home in Hawaii
personal,Own my own pool table
personal,Assemble a good art collection
personal,Own a Mercedes or Lexus
personal,Speak in 30 or more countries
personal,Give a university commencement address
personal,Attend my 50th Harvard reunion in 2016
personal,Publish 100 books
personal,Speak at the Million Dollar Roundtable
personal,Produce a TV infomercial
personal,Write a children’s book
personal,Complete NLP training
personal,Produce a PBS program
personal,"See my sons Christopher, Oran and Kyle graduate college"
personal,"Sell $20,000 worth of books and tapes at a live event in one day"
personal,"Have 1,000,000 people graduate from the GOALS Program"
personal,"Have 500,000 people graduate from the STAR Program"
personal,"Sell 1,000,000,000 books"
personal,"Sell 1,000,000 audio albums"
personal,Learn to speak Spanish fluently
personal,Appear in a movie
personal,Learn to paint with oils
personal,Publish a poem
personal,Master 5 magic tricks
personal,Learn to sing and play 10 popular songs on the guitar
personal,Give a speech or conduct a seminar in all 50 states
personal,Appear on the cover of a magazine (over 20 so far)
personal,"Get paid $10,000 for a single talk ($70,000 highest fee to date for a single talk)"
personal,Keynote an NSA conference
personal,Win over a $1000 in a casino
personal,"Give a talk to an audience of 10,000 people"
personal,See one of my books piled high in the window of a bookstore
personal,Learn how to take world-class photographs
personal,Type 50 words a minute
personal,To enroll 1000 people into our online Train the Trainer program
personal,To enroll 50 people into our 2019 Train the Trainer program
personal,To have a minimum of 200 people in our Caribbean Cruise in March
personal,Have an incredible 50th birthday party
personal,Convene Two Beautiful People Conferences
personal,"Meet the Following People:(Garth Brooks, Bill Clinton, Hillary Clinton, Jimmy, Carter, The Dalai Lama, Arnold Schwarzenegger, George Lucas, Kenny Rogers)"
personal,Sell one billion books by the year 2019
personal,Live to be 100+ years old
personal,Receive the CPAE designation from the National Speakers Association
personal,To complete the new landscaping around the swimming pool area of the property
health,Weigh 175 pounds
health,Bench press 200 pounds
health,Run a mile under 6 minutes
health,Do a fire-walk
health,Have a personal gym in my home
health,Conduct a training for a professional athletic team
health,To weigh 195 pounds or less
health,To work out using High-Intensity Interval Training and weightlifting for at least 30 minutes a day a minimum of 3 days a week.
health,To take two 20-minute walks a day
health,To drink two and a half liters of water a day
health,To get a minimum of 26 massages
career,Write a book for couples with my wife
career,Write a book for teenagers
career,Write a children’s book
career,Have a syndicated newspaper column
career,Develop a leadership training
career,Create a dynamic coaching and training community with 500 or more members
career,Create a curriculum guide for a college course based on The Success Principles
career,Create a high school curriculum guide based on The Success Principles
career,Create a Curriculum Guide for teachers based on the Chicken Soup for the Soul stories
career,"To complete and publish the following 6 books: (Living the Success Principles, The Success Principles Workbook with Brandon Hall, The Success Principles for Women, The Power of Wow with Raymond Aaron, Unstuck book with Lyse Janelle, The Big, Bad Bully (a children’s book) with Miriam Laundry)"
career,To complete and publish to Tree of Life Meditation CDs with Deirdre Hade
career,To complete the strategic planning for a major podcast membership program
career,To complete and implement a membership and support program for our Canfield Train the Trainer graduates
career,To complete a thorough de-cluttering of my office
career,To hire a new part-time personal assistant for myself
career,To create a new more efficient system for handling my emails
career,To be complete 48 interviews or podcasts where others interview me—and
career,To develop a TEDx talk on the topic of Rejection is a Myth
knowledge,Take more guitar lessons
knowledge,"Learn to play “Jesu, Joy of Man’s Desiring” by Bach on the piano"
knowledge,Take a formal training in EFT (Emotional Freedom Technique)
knowledge,"To read books on personal, spiritual or professional development for a minimum of 30 minutes a day."
knowledge,To watch two TED or TEDx talks every week.
knowledge,To read 36 or more books
financial,"Obtain a $1,000,000 advance for a book"
financial,To increase the Canfield Training Group gross income $5 million
financial,To double my personal income
financial,"To earn $600,000 in personal speaking fees"
financial,"Have $3,000,000 net worth when I retire"
financial,Retire with a $30 million net worth
social,To have a date night with my wife Inga every week that I am home and not on the road.
social,To have 100 or more Free days at home or on vacation with my wife
social,"To spend a minimum of two weeks with my grandson Ozzie, who lives in Brooklyn, NY"
spiritual,To give 4 free talks for the local community educational and nonprofit organizations in Santa Barbara
spiritual,"To tithe 10% of my after-tax income to nonprofit organizations including The Unstoppable Foundation, Child Abuse Learning and Mediation, The Bodhi Path Meditation Center, The Pachamama Alliance, UNICEF Children’s Fund, Doctors Without Borders, and Direct Relief."
spiritual,To provide one free online Train the Trainer program to someone in a third world country for every one we sell.
